date,position,track_id,track_name,artist,streams,Filipino
7/21/2017,73,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,41056,not
5/1/2020,7,4kS01K2URu522IomkGOFHl,Beautiful Scars,Maximillian,123570,not
3/24/2020,163,7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,24157,not
3/26/2020,108,55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,28666,not
7/3/2018,95,6brl7bwOHmGFkNw3MBqssT,So Sick,Ne-Yo,35301,not
1/9/2021,88,7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,43726,not
9/5/2020,185,0ri0Han4IRJhzvERHOZTMr,At My Worst,Pink Sweat$,24926,not
9/25/2020,142,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,32128,not
2/15/2020,146,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,32192,not
2/14/2017,179,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,18956,not
9/6/2020,171,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,24660,not
9/21/2020,150,5hvwx5i67IwnCkjl9VHkNv,Diamonds,Sam Smith,29947,not
4/30/2020,199,47nJrlVeOWNEI4hppa7ha9,Passenger Seat,Stephen Speaks,21336,not
3/27/2020,189,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa,22652,not
2/8/2020,181,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA,28295,not
1/4/2017,196,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,14445,not
11/29/2019,188,4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,25846,not
7/15/2020,184,1Z0sOoWABNbbiadSEea2z9,I,Twenty-Nine Eleven,25950,not
9/8/2020,116,4lsHZ92XCFOQfzJFBTluk8,You Got It,Vedo,34155,not
7/22/2019,194,51Fjme0JiitpyXKuyQiCDo,Lalala,Y2K,23494,not
2/7/2020,195,25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),Young Thug,28495,not
2/25/2018,7,2ARqIya5NAuvFVHSN3bL0m,The Middle,Zedd,131936,not
