track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
57vxBYXtHMk6H1aD29V7PU,Heartless,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,7vRcickwa6GCfY1qKKe4lK,200080,2019-11-27,26,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,4,0.5172282457351685,R&B,51.722824573516846%
6tvQzeCPwOytDlBYCIOY0n,Breathe,4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,6m8i2mJRlqvarXe9Vi1MzS,207629,2017-12-01,2,0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,2,0.5171873569488525,Reggae,51.718735694885254%
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,291357,2005,66,0.558,0.553,4,-6.669,1,0.0323,0.492,0.0,0.116,0.251,134.263,5,0.5167548060417175,Rock,51.67548060417175%
0cfZEZwqwlXlvpbb0jTSVz,You And Me,5PokPZn11xzZXyXSfnvIM3,Lifehouse,7yf6wUGi519WfO0Or24MUW,195493,2005-03-22,0,0.462,0.414,7,-7.712,1,0.0266,0.104,0.0,0.172,0.4,139.904,5,0.5164892673492432,Rock,51.648926734924316%
2fhePAlCSsJplwkjqMYpVm,LOVE AGAIN,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,4mvxoogQn8p84Wz17zTHnJ,214277,2019-06-28,66,0.553,0.441,5,-6.411,1,0.0918,0.41,2.57e-06,0.107,0.525,76.988,4,0.5164180397987366,R&B,51.64180397987366%
7gevvAspxft2qQmcvJjNBH,A Good Night,5y2Xq6xcjJb2jVM54GHK3t,John Legend,2hHh6SaRQhRbeXdQkk4cV9,203453,2018-04-06,61,0.53,0.707,10,-5.516,1,0.203,0.104,0.0,0.105,0.696,109.827,4,0.5164052844047546,R&B,51.640528440475464%
34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,0iqkVK6sTXi7DZWWOeKy8Q,PDL,79UXZq6nXVVBpZgWWxb9Gq,214606,2018-09-26,67,0.595,0.57,5,-6.232,0,0.12,0.104,0.0,0.0899,0.721,84.929,4,0.5162314772605896,R&B,51.62314772605896%
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw,7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,6HPFW4F5tgbVGfFatG5CUw,288207,2018-10-23,62,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905,3,0.516009509563446,Acoustic,51.600950956344604%
1NopgVCMVhCKIm64tF7auX,With A Smile,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1IalzI8USuu4PB679HVV5C,278173,1994-11-01,61,0.328,0.465,6,-9.81,1,0.0334,0.72,2.16e-06,0.175,0.342,149.246,5,0.5155671238899231,Rock,51.55671238899231%
2BgEsaKNfHUdlh97KmvFyo,2002,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,7lPoGKpCGgdKFAxpudhAH5,186986,2018-04-27,82,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,4,0.5153501629829407,R&B,51.53501629829407%
